drawing_id,metric,pre,post,diff,pct_change
36425e04-bebf-4ded-89a5-d1f871ff43dd,1st order z cr,14.4898,0.0,-14.4898,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,Y Freq,2.16593,84.1527,81.98676999999999,3785.291768432036
36425e04-bebf-4ded-89a5-d1f871ff43dd,Y Power,6.37284e-09,5.3787e-13,-6.37230213e-09,-99.99155996384658
36425e04-bebf-4ded-89a5-d1f871ff43dd,Sampling frequency,119.887,4103.45,3983.5629999999996,3322.764770158566
36425e04-bebf-4ded-89a5-d1f871ff43dd,Speed mean,0.0136344,10190.3,10190.286365599999,74739529.1732676
36425e04-bebf-4ded-89a5-d1f871ff43dd,Convergency,25.0,0.0,-25.0,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,Residue pr-t,0.204756,0.44322,0.238464,116.4625212447987
36425e04-bebf-4ded-89a5-d1f871ff43dd,1st order sm,-7.69193,14.044,21.73593,282.580964725368
36425e04-bebf-4ded-89a5-d1f871ff43dd,Ang Sp Power,6.19739e-05,2.71319e-05,-3.4842e-05,-56.22044118572496
36425e04-bebf-4ded-89a5-d1f871ff43dd,4th quad average median,0.0111644,0.0,-0.0111644,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,L hemi-pr,1.15563,1.00675,-0.1488799999999999,-12.883016190303117
36425e04-bebf-4ded-89a5-d1f871ff43dd,R-L hemi-pr,-0.059397,0.0211258,0.0805228,135.5671161843191
36425e04-bebf-4ded-89a5-d1f871ff43dd,Speed peak,0.520437,78486.5,78485.979563,15080783.949450174
36425e04-bebf-4ded-89a5-d1f871ff43dd,Residue sp-t,0.00244411,155.449,155.44655589,6360047.456538372
36425e04-bebf-4ded-89a5-d1f871ff43dd,Speed Freq,4.85871,119.216,114.35728999999999,2353.6553941272473
36425e04-bebf-4ded-89a5-d1f871ff43dd,slope_3,-0.223562,8317.19,8317.413562,3720405.7764736405
36425e04-bebf-4ded-89a5-d1f871ff43dd,tightness (Up-Lw),9.77164,0.0,-9.77164,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,number of cycles,3.0,0.0,-3.0,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,DOS,0.01,4.0,3.99,39900.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,R/L hemi-pr,0.921698,1.03771,0.11601199999999989,12.586769202059664
36425e04-bebf-4ded-89a5-d1f871ff43dd,2nd order z cr,24.0816,12.2966,-11.785000000000002,-48.93777822071624
